         725212601 function calls (725086874 primitive calls) in 1232.125 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2010    0.006    0.000    0.008    0.000 annotation.py:31(__new__)
     1009    0.007    0.000    0.011    0.000 annotation.py:45(__init__)
10003/9003    0.056    0.000    0.658    0.000 annotation.py:71(_compiler_dispatch)
    10001    0.012    0.000    0.012    0.000 annotation.py:90(__hash__)
     7002    0.049    0.000    1.070    0.000 annotation.py:93(__eq__)
        3    0.000    0.000    0.000    0.000 app.py:564(logger)
       20    0.000    0.000    0.000    0.000 attr.py:123(update_subclass)
       20    0.000    0.000    0.001    0.000 attr.py:186(__init__)
    21874    0.042    0.000    0.042    0.000 attr.py:214(__call__)
    42707    0.079    0.000    0.079    0.000 attr.py:226(__bool__)
     5496    0.024    0.000    0.048    0.000 attr.py:252(__call__)
        7    0.000    0.000    0.000    0.000 attributes.py:1303(from_scalar_attribute)
       72    0.001    0.000    0.006    0.000 attributes.py:1440(register_attribute_impl)
     2000    0.011    0.000    0.019    0.000 attributes.py:148(_query_clause_element)
     7002    0.017    0.000    1.169    0.000 attributes.py:174(operate)
    18747    0.089    0.000    0.333    0.000 attributes.py:222(__set__)
  1506741    6.044    0.000    6.045    0.000 attributes.py:229(__get__)
       72    0.001    0.000    0.002    0.000 attributes.py:379(__init__)
    28977    0.058    0.000    0.058    0.000 attributes.py:556(get)
       72    0.001    0.000    0.002    0.000 attributes.py:647(__init__)
        7    0.000    0.000    0.000    0.000 attributes.py:675(get_history)
    18747    0.112    0.000    0.243    0.000 attributes.py:687(set)
       20    0.000    0.000    0.000    0.000 attributes.py:74(_supports_population)
       23    0.000    0.000    0.000    0.000 base.py:100(_event_descriptors)
    11111    0.044    0.000    0.135    0.000 base.py:105(_for_class)
    10456    0.311    0.000    8.377    0.001 base.py:1061(_execute_context)
    11109    0.032    0.000    0.166    0.000 base.py:108(_for_instance)
        1    0.000    0.000    0.000    0.000 base.py:111(__init__)
        1    0.000    0.000    0.000    0.000 base.py:116(_join)
        1    0.000    0.000    0.000    0.000 base.py:121(__getitem__)
     5452    0.007    0.000    0.007    0.000 base.py:121(_root)
    10456    0.028    0.000    0.219    0.000 base.py:1220(_safe_close_cursor)
     5445    0.032    0.000    0.064    0.000 base.py:135(_clone)
     5445    0.062    0.000    0.233    0.000 base.py:149(execution_options)
        1    0.000    0.000    0.000    0.000 base.py:1530(__init__)
        1    0.000    0.000    0.009    0.009 base.py:1563(commit)
        1    0.000    0.000    0.000    0.000 base.py:1589(__init__)
        1    0.000    0.000    0.009    0.009 base.py:1597(_do_commit)
     6005    0.017    0.000    0.027    0.000 base.py:1832(get_select_precolumns)
        1    0.000    0.000    0.000    0.000 base.py:1863(limit_clause)
        1    0.000    0.000    0.000    0.000 base.py:1899(update_limit_clause)
        1    0.000    0.000    0.000    0.000 base.py:1906(update_tables_clause)
        2    0.000    0.000    0.000    0.000 base.py:1908(<genexpr>)
     7006    0.051    0.000    0.282    0.000 base.py:196(generate)
        1    0.000    0.000    0.000    0.000 base.py:197(dialect_kwargs)
        1    0.000    0.000    0.000    0.000 base.py:2015(contextual_connect)
        1    0.000    0.000    0.000    0.000 base.py:2066(_wrap_pool_connect)
     6150    0.017    0.000    0.036    0.000 base.py:208(manager_of_class)
        1    0.000    0.000    0.000    0.000 base.py:223(kwargs)
        1    0.000    0.000    0.000    0.000 base.py:228(_kw_reg_for_dialect)
        1    0.000    0.000    0.000    0.000 base.py:236(_kw_reg_for_dialect_cls)
        1    0.000    0.000    0.000    0.000 base.py:248(dialect_options)
        1    0.000    0.000    0.009    0.009 base.py:2497(do_commit)
        1    0.000    0.000    0.000    0.000 base.py:2515(do_rollback)
        1    0.000    0.000    0.000    0.000 base.py:255(__init__)
       21    0.000    0.000    0.000    0.000 base.py:271(_validate_dialect_kwargs)
    11111    0.050    0.000    0.216    0.000 base.py:285(__get__)
     1000    0.016    0.000    0.016    0.000 base.py:293(_inspect_mapped_object)
        6    0.000    0.000    0.000    0.000 base.py:301(connection)
        1    0.000    0.000    0.000    0.000 base.py:32(_clone)
     6004    0.036    0.000    0.112    0.000 base.py:325(_is_mapped_class)
     7002    0.039    0.000    0.089    0.000 base.py:359(_entity_descriptor)
    19017    0.123    0.000    0.224    0.000 base.py:36(_from_objects)
     6006    0.027    0.000    0.069    0.000 base.py:389(_inspect_mapped_class)
     1001    0.007    0.000    0.130    0.000 base.py:40(_generative)
     2003    0.021    0.000    0.052    0.000 base.py:454(__init__)
        1    0.000    0.000    0.000    0.000 base.py:47(__init__)
     5030    0.014    0.000    0.095    0.000 base.py:500(add)
     7030    0.040    0.000    0.118    0.000 base.py:518(__setitem__)
        1    0.000    0.000    0.000    0.000 base.py:534(begin)
        1    0.000    0.000    0.000    0.000 base.py:55(__init__)
    12092    0.040    0.000    0.071    0.000 base.py:575(__contains__)
        1    0.000    0.000    0.000    0.000 base.py:58(_key)
        4    0.000    0.000    0.000    0.000 base.py:590(contains_column)
